# lag_days = last message in the session minus trigger_received_on (when the bot offered it).
# end_source: last_message is the true end; updated_at is the fallback. They agreed on every row.
# session_id column removed: it identifies a conversation and adds nothing to a lag audit.
# session_id column removed: it identifies a conversation and adds nothing to a lag audit.
flw_id,end_time,end_source,lag_days,within_2d
FLW_f48e67,2026-07-10T16:47:15.781058+00:00,last_message,0.1021,Y
FLW_008859,2026-07-10T20:38:36.898569+00:00,last_message,0.2592,Y
FLW_ad6adb,2026-07-10T17:28:08.552077+00:00,last_message,0.1104,Y
FLW_2df30f,2026-07-12T05:17:32.991890+00:00,last_message,1.547,Y
FLW_4277b4,2026-07-11T17:57:58.755968+00:00,last_message,1.0677,Y
FLW_f8bd4d,2026-07-12T05:05:37.922085+00:00,last_message,1.5165,Y
FLW_419281,2026-07-10T18:02:01.813357+00:00,last_message,0.0505,Y
FLW_4e002b,2026-07-10T18:11:23.919134+00:00,last_message,0.0423,Y
FLW_062394,2026-07-10T19:50:29.672698+00:00,last_message,0.1008,Y
FLW_9d4fe2,2026-07-10T21:39:36.960516+00:00,last_message,0.1436,Y
FLW_139777,2026-07-10T21:24:58.105492+00:00,last_message,0.1187,Y
FLW_6f8a52,2026-07-11T02:07:18.460733+00:00,last_message,0.3035,Y
FLW_f37520,2026-07-10T22:23:47.067568+00:00,last_message,0.1458,Y
FLW_eca94e,2026-07-10T23:06:56.173107+00:00,last_message,0.1715,Y
FLW_63705f,2026-07-10T23:08:39.147981+00:00,last_message,0.167,Y
FLW_4c3b4f,2026-07-11T09:58:53.209762+00:00,last_message,0.6168,Y
FLW_93fa61,2026-07-10T21:11:21.662294+00:00,last_message,0.0788,Y
FLW_fc1633,2026-07-11T16:09:11.014881+00:00,last_message,0.8575,Y
FLW_b08440,2026-07-10T21:59:43.100619+00:00,last_message,0.095,Y
FLW_058eb7,2026-07-11T05:44:51.363889+00:00,last_message,0.4027,Y
FLW_9cd5cb,2026-07-11T04:35:47.039797+00:00,last_message,0.3186,Y
FLW_939f09,2026-07-10T23:02:13.571679+00:00,last_message,0.0584,Y
FLW_3470be,2026-07-11T14:59:08.239683+00:00,last_message,0.6941,Y
FLW_5e0576,2026-07-11T07:10:15.360460+00:00,last_message,0.3193,Y
FLW_43ebf2,2026-07-11T23:41:39.237289+00:00,last_message,0.9729,Y
FLW_ec3845,2026-07-12T18:00:52.606250+00:00,last_message,1.7059,Y
FLW_5d5df6,2026-07-11T04:28:29.597196+00:00,last_message,0.053,Y
FLW_fca828,2026-07-11T04:52:34.926107+00:00,last_message,0.0569,Y
FLW_be8d74,2026-07-11T16:59:09.213019+00:00,last_message,0.5559,Y
FLW_bb892e,2026-07-11T15:08:45.704981+00:00,last_message,0.4294,Y
FLW_8297ec,2026-07-12T14:35:09.407794+00:00,last_message,1.3694,Y
FLW_5ffbb0,2026-07-11T08:49:39.980137+00:00,last_message,0.1184,Y
FLW_dde445,2026-07-12T12:23:51.208332+00:00,last_message,1.2608,Y
FLW_f6e879,2026-07-11T08:21:52.453932+00:00,last_message,0.0746,Y
FLW_178faa,2026-07-11T09:30:38.678216+00:00,last_message,0.0524,Y
FLW_d1f8e5,2026-07-11T13:09:52.041975+00:00,last_message,0.19,Y
FLW_51aac5,2026-07-11T11:35:55.089805+00:00,last_message,0.0656,Y
FLW_7f9148,2026-07-11T12:08:13.866284+00:00,last_message,0.0742,Y
FLW_80cddf,2026-07-11T12:51:53.132523+00:00,last_message,0.0631,Y
FLW_b263e2,2026-07-13T11:29:28.228762+00:00,last_message,1.9721,Y
FLW_95bf58,2026-07-11T14:39:19.313387+00:00,last_message,0.1038,Y
FLW_1d3755,2026-07-12T20:22:13.400828+00:00,last_message,1.3222,Y
FLW_3828ed,2026-07-11T17:22:01.585750+00:00,last_message,0.1852,Y
FLW_3ef36e,2026-07-11T13:59:15.460117+00:00,last_message,0.0419,Y
FLW_2adc93,2026-07-12T13:01:04.541546+00:00,last_message,0.9999,Y
FLW_8f7c7c,2026-07-11T14:56:05.225395+00:00,last_message,0.0759,Y
FLW_234824,2026-07-11T14:53:40.298743+00:00,last_message,0.073,Y
FLW_dd7095,2026-07-11T20:14:52.821692+00:00,last_message,0.2781,Y
FLW_75f038,2026-07-14T19:43:08.436379+00:00,last_message,3.2067,N
FLW_612178,2026-07-12T11:12:13.708268+00:00,last_message,0.8414,Y
FLW_1992b0,2026-07-11T17:37:28.218601+00:00,last_message,0.0986,Y
FLW_d2f962,2026-07-12T07:05:41.390331+00:00,last_message,0.6584,Y
FLW_3d8cb0,2026-07-11T18:53:26.506582+00:00,last_message,0.0984,Y
FLW_ec19b8,2026-07-12T10:57:31.988037+00:00,last_message,0.6421,Y
FLW_00ec5a,2026-07-11T22:24:30.190005+00:00,last_message,0.0288,Y
FLW_1bff41,2026-07-16T09:59:58.698247+00:00,last_message,4.4746,N
FLW_a726cb,2026-07-12T07:24:18.386857+00:00,last_message,0.0675,Y
FLW_605377,2026-07-13T13:37:15.837241+00:00,last_message,1.2715,Y
FLW_d31fdc,2026-07-12T19:46:07.963097+00:00,last_message,0.2726,Y
FLW_7f7a21,2026-07-12T15:37:05.040623+00:00,last_message,0.0828,Y
FLW_89a64e,2026-07-13T04:39:03.148157+00:00,last_message,0.5743,Y
FLW_068d52,2026-07-12T16:46:50.415673+00:00,last_message,0.0698,Y
FLW_173cf6,2026-07-12T18:53:11.631522+00:00,last_message,0.0885,Y
FLW_988405,2026-07-12T21:10:26.999306+00:00,last_message,0.1604,Y
FLW_489a64,2026-07-13T21:24:04.122240+00:00,last_message,0.673,Y
FLW_d39fb4,2026-07-13T08:45:38.251762+00:00,last_message,0.0872,Y
FLW_06eca7,2026-07-13T13:29:08.786895+00:00,last_message,0.1345,Y
FLW_e631c6,2026-07-13T13:39:30.712329+00:00,last_message,0.0597,Y
FLW_e5e2d7,2026-07-13T15:00:25.390357+00:00,last_message,0.063,Y
FLW_1e3c36,2026-07-13T15:54:48.205945+00:00,last_message,0.0991,Y
FLW_7a91b2,2026-07-13T21:25:49.543936+00:00,last_message,0.321,Y
FLW_4ee273,2026-07-13T14:39:06.263687+00:00,last_message,0.0339,Y
FLW_dc5021,2026-07-15T10:37:55.599519+00:00,last_message,1.8606,Y
FLW_8c9b4c,2026-07-13T17:58:32.611369+00:00,last_message,0.1629,Y
FLW_f72202,2026-07-13T23:49:04.802891+00:00,last_message,0.3526,Y
FLW_84c22f,2026-07-13T17:52:17.479249+00:00,last_message,0.104,Y
FLW_54b9f7,2026-07-13T17:00:10.533519+00:00,last_message,0.0574,Y
FLW_a10163,2026-07-13T18:02:53.075755+00:00,last_message,0.0686,Y
FLW_004310,2026-07-13T19:20:36.495231+00:00,last_message,0.1105,Y
FLW_1fbf05,2026-07-14T18:45:13.247555+00:00,last_message,1.0758,Y
FLW_4665f1,2026-07-13T18:12:11.887665+00:00,last_message,0.0517,Y
FLW_6e292c,2026-07-29T17:20:23.830289+00:00,last_message,15.9873,N
FLW_b24762,2026-07-13T21:30:58.356808+00:00,last_message,0.121,Y
FLW_a42d1e,2026-07-14T10:19:38.204691+00:00,last_message,0.6116,Y
FLW_94c2a4,2026-07-16T16:03:42.186882+00:00,last_message,2.8214,N
FLW_f0efeb,2026-07-13T21:38:26.345293+00:00,last_message,0.0409,Y
FLW_843132,2026-07-14T14:20:44.325392+00:00,last_message,0.7241,Y
FLW_3e6362,2026-07-14T06:25:47.230751+00:00,last_message,0.367,Y
FLW_b2f21f,2026-07-13T23:13:18.284524+00:00,last_message,0.041,Y
FLW_23bbb3,2026-07-14T01:37:23.502187+00:00,last_message,0.0497,Y
FLW_5fe7af,2026-07-14T11:54:17.759159+00:00,last_message,0.3134,Y
FLW_1d2d91,2026-07-14T08:43:19.174938+00:00,last_message,0.1536,Y
FLW_a60326,2026-07-14T06:42:53.109431+00:00,last_message,0.065,Y
FLW_afbfed,2026-07-14T11:57:37.600513+00:00,last_message,0.2452,Y
FLW_66f6dc,2026-07-15T05:42:37.626861+00:00,last_message,0.9646,Y
FLW_91e6ac,2026-07-16T18:55:47.491877+00:00,last_message,2.4762,N
FLW_45cad8,2026-07-14T08:57:40.612912+00:00,last_message,0.0443,Y
