# lag_days = last message in the session minus trigger_received_on (when offered).
# session_id is omitted: it identifies a conversation and adds nothing to a lag audit.
# session_id column removed: it identifies a conversation and adds nothing to a lag audit.
# session_id column removed: it identifies a conversation and adds nothing to a lag audit.
flw_id,end_source,lag_days,within_2d
FLW_e8f3b8,last_message,0.2964,Y
FLW_12ac24,last_message,0.1365,Y
FLW_ea230f,last_message,0.59,Y
FLW_e50f96,last_message,0.4929,Y
FLW_b51f01,last_message,0.7143,Y
FLW_9d8746,last_message,0.0573,Y
FLW_e886e4,last_message,0.657,Y
FLW_c309a2,last_message,1.393,Y
FLW_c43647,last_message,0.0281,Y
FLW_c36d63,last_message,1.7449,Y
FLW_62a2e9,last_message,8.4232,N
FLW_999f9d,last_message,0.2574,Y
FLW_d9c3f6,last_message,0.8269,Y
FLW_3a0a3f,last_message,0.25,Y
FLW_37164b,last_message,1.0104,Y
FLW_7b2c7f,last_message,2.0188,N
FLW_b64971,last_message,1.0172,Y
FLW_6de54e,last_message,0.0706,Y
FLW_13ba66,last_message,0.3626,Y
FLW_4cb94a,last_message,0.1456,Y
FLW_118852,last_message,0.1543,Y
FLW_60582c,last_message,1.3053,Y
FLW_f885c2,last_message,0.0729,Y
FLW_fcdee7,last_message,0.213,Y
FLW_b05d93,last_message,0.4869,Y
FLW_9d3718,last_message,0.1357,Y
FLW_c41a16,last_message,0.09,Y
FLW_a01492,last_message,0.0617,Y
FLW_9ff7d7,last_message,0.4556,Y
FLW_f43ba3,last_message,10.0414,N
FLW_3207ba,last_message,0.0592,Y
FLW_48f7c6,last_message,0.3303,Y
FLW_c49420,last_message,0.0608,Y
FLW_7d9367,last_message,0.6667,Y
FLW_00b3de,last_message,0.0383,Y
FLW_fa0fa8,last_message,0.795,Y
FLW_8b806a,last_message,0.6604,Y
FLW_999c30,last_message,0.1436,Y
FLW_fd4e03,last_message,0.0361,Y
FLW_cd303d,last_message,0.0996,Y
FLW_2e2f9f,last_message,0.3563,Y
FLW_7567ef,last_message,0.1625,Y
FLW_7f2583,last_message,0.0556,Y
FLW_2b5331,last_message,0.1854,Y
FLW_692a61,last_message,4.1977,N
FLW_1d06b6,last_message,0.6976,Y
FLW_1b87a2,last_message,0.1486,Y
FLW_6e5cc4,last_message,0.2268,Y
FLW_b2c206,last_message,0.9019,Y
FLW_3f8381,last_message,0.1839,Y
FLW_042711,last_message,0.0545,Y
FLW_7ef4c8,last_message,0.3245,Y
FLW_0a500b,last_message,0.0892,Y
FLW_ccc551,last_message,0.2994,Y
FLW_e2f7fc,last_message,0.1295,Y
FLW_f645df,last_message,0.0536,Y
FLW_185c0a,last_message,0.5872,Y
FLW_8216f7,last_message,0.0519,Y
FLW_c26397,last_message,0.0957,Y
FLW_cc45b5,last_message,0.146,Y
FLW_5b6329,last_message,0.0822,Y
FLW_263df7,last_message,0.2431,Y
FLW_86c9d8,last_message,4.5876,N
